12 10 14 22 21 14 20 14 14 10 12 13 20 10 10 10 11 14 13 22 11 14 11 11 24 11 14 20 11 10 14 22 12 10 20 14 14 21 12 22 12 14 14 11 11 14 13 12 23 10 11 14 13 11 10 12 12 11 10 12 13 23 10 13 11 10 24 10 12 13 14 13 12 11 10 10 13 10 23 14 11 10 11 11 11 12 23 20 14 3 13 21 22 12 11 10 24 11 23 12
2 24 23 4 22 21 23 23 21 23 22 20 21 20 23 22 20 23 24 21 20 3 0 21 0 22 23 0 3 4 20 23 23 22 22 24 20 22 22 1 12 20 24 22 24 21 22 20 20 24 2 21 23 22 20 20 21 24 24 20 20 23 23 20 21 23 24 23 23 24 22 22 23 23 0 21 21 0 22 20 23 24 21 23 2 22 24 23 24 23 22 24 24 23 21 20 1 20 20 2
11 11 13 22 21 21 12 12 13 13 14 10 11 20 12 21 11 20 14 14 10 23 14 13 14 11 21 22 11 11 10 21 24 20 21 14 14 20 12 13 14 12 13 14 13 12 24 23 23 12 23 10 14 13 22 20 23 23 10 10 22 13 14 14 24 14 24 14 10 21 10 12 14 20 10 20 21 14 20 24 10 11 10 11 14 24 24 13 12 10 22 13 10 13 11 20 20 20 20 14
24 12 10 2 1 10 3 22 2 1 20 11 13 0 14 13 14 13 23 2 3 11 22 14 3 13 4 10 2 21 1 1 4 20 11 22 1 14 0 11 4 23 10 10 20 14 11 20 11 21 23 0 22 22 4 24 20 22 13 4 0 13 11 2 21 3 22 24 24 2 3 24 14 10 0 13 23 0 0 22 12 3 2 24 0 12 21 4 4 1 22 13 23 22 23 2 4 13 11 21
20 24 22 12 20 23 22 22 23 13 14 23 20 14 24 20 23 21 22 24 14 20 20 21 20 11 23 20 24 22 21 12 20 0 21 11 23 23 23 22 24 22 21 14 23 14 23 24 10 21 22 24 20 20 22 20 12 13 22 20 3 12 14 23 21 24 23 22 24 23 14 0 23 21 20 10 23 23 21 20 10 24 10 21 10 22 22 20 12 20 13 10 21 22 14 20 20 21 22 24
2 22 20 2 12 10 23 13 22 10 13 10 10 2 12 12 14 20 12 12 10 12 23 13 2 24 12 4 2 22 4 10 2 23 21 13 4 21 11 12 10 14 12 10 12 0 13 13 14 20 10 10 12 13 10 10 13 0 21 12 13 12 13 2 14 2 13 0 13 14 13 12 11 0 14 10 20 10 14 22 4 14 20 11 3 10 14 1 21 21 12 12 12 24 10 24 21 12 14 11
10 2 1 23 1 11 12 13 14 0 11 14 3 10 11 10 12 11 11 14 4 13 11 11 13 12 12 14 12 11 10 10 1 2 11 14 0 4 2 20 2 14 14 10 1 10 11 10 22 14 3 11 11 10 14 13 13 4 12 14 13 12 14 13 14 14 0 13 0 13 12 10 12 10 1 13 1 11 13 11 14 13 0 1 11 13 10 11 11 2 11 3 12 13 12 10 2 1 22 10
10 12 14 23 20 14 14 21 13 12 13 10 1 12 13 23 11 24 13 11 23 11 11 21 13 20 10 13 20 13 11 14 14 13 12 12 10 10 21 14 21 12 12 11 20 14 13 23 13 13 24 12 1 14 24 12 11 21 13 11 12 22 24 21 21 20 12 14 22 1 24 22 10 11 14 12 11 10 10 14 14 14 10 11 10 10 11 11 14 11 24 10 13 24 13 14 21 12 23 12
10 21 20 14 10 0 24 2 0 13 22 21 24 12 23 13 1 11 20 12 4 23 22 10 10 24 23 23 3 21 14 23 10 0 22 20 20 3 10 12 13 23 21 24 12 20 20 2 10 1 4 21 24 3 23 24 21 11 22 4 4 13 12 21 23 24 22 1 23 23 3 22 21 11 22 10 23 1 21 10 10 2 22 20 24 21 22 10 22 4 20 13 0 3 14 24 20 0 23 1
11 22 1 20 1 3 12 11 13 10 4 2 24 4 13 14 1 12 0 22 10 0 11 24 13 12 11 13 3 2 1 4 2 24 13 14 13 11 2 2 10 0 2 1 2 4 4 1 1 14 10 12 0 14 0 0 3 4 4 13 13 3 11 14 4 10 1 21 2 2 3 10 0 4 2 12 12 3 2 0 3 11 11 0 12 13 12 23 4 14 14 1 2 4 1 21 11 4 14 22
